date,range,first_row,row_density,comment
7/12/2019,2,1,16.5,
7/12/2019,3,1,20.5,
7/12/2019,4,1,16,
7/12/2019,5,1,15.5,
7/12/2019,6,1,27.5,
7/12/2019,7,1,17,
7/12/2019,8,1,20,
7/12/2019,9,1,25.5,
7/12/2019,10,1,19.5,
7/12/2019,11,1,14.5,
7/12/2019,12,1,13,
7/12/2019,13,1,20.5,
7/12/2019,14,1,21,
7/12/2019,15,1,21.5,
7/12/2019,16,1,21.5,
7/12/2019,17,1,18.5,
7/12/2019,18,1,8.5,
7/12/2019,19,1,9,
7/12/2019,20,1,21,
7/12/2019,21,1,16.5,
7/12/2019,22,1,18,
7/12/2019,23,1,20,
7/12/2019,24,1,21.5,
7/12/2019,25,1,10.5,
7/12/2019,25,5,13.5,
7/12/2019,24,5,11.5,
7/12/2019,23,5,10,
7/12/2019,22,5,11.5,
7/12/2019,21,5,9.5,
7/12/2019,20,5,7.5,
7/12/2019,19,5,14.5,
7/12/2019,18,5,13.5,
7/12/2019,17,5,19.5,
7/12/2019,16,5,17.5,
7/12/2019,15,5,15.5,
7/12/2019,14,5,16.5,
7/12/2019,13,5,15,
7/12/2019,12,5,17,
7/12/2019,11,5,17.5,
7/12/2019,10,5,20,
7/12/2019,9,5,19.5,
7/12/2019,8,5,17,
7/12/2019,7,5,10,
7/12/2019,6,5,15.5,
7/12/2019,5,5,18,
7/12/2019,4,5,12,
7/12/2019,3,5,13,
7/12/2019,2,5,21,
7/12/2019,2,9,14,
7/12/2019,3,9,18.5,
7/12/2019,4,9,10.5,
7/12/2019,5,9,10.5,
7/12/2019,6,9,16.5,
7/12/2019,7,9,14,
7/12/2019,8,9,18,
7/12/2019,9,9,19.5,
7/12/2019,10,9,16.5,
7/12/2019,11,9,14.5,
7/12/2019,12,9,11.5,
7/12/2019,13,9,17.5,
7/12/2019,14,9,13.5,
7/12/2019,15,9,24,
7/12/2019,16,9,20,
7/12/2019,17,9,17,
7/12/2019,18,9,15,
7/12/2019,19,9,7,
7/12/2019,20,9,8,
7/12/2019,21,9,15.5,
7/12/2019,22,9,14,
7/12/2019,23,9,9.5,
7/12/2019,24,9,15,
7/12/2019,25,9,14.5,
7/12/2019,25,13,16.5,
7/12/2019,24,13,16.5,
7/12/2019,23,13,14,
7/12/2019,22,13,14.5,
7/12/2019,21,13,16,
7/12/2019,20,13,13.5,
7/12/2019,19,13,10,
7/12/2019,18,13,10.5,
7/12/2019,17,13,18,
7/12/2019,16,13,13.5,
7/12/2019,15,13,9.5,
7/12/2019,14,13,13.5,
7/12/2019,13,13,16,
7/12/2019,12,13,19.5,
7/12/2019,11,13,13,
7/12/2019,10,13,16,
7/12/2019,9,13,15.5,
7/12/2019,8,13,14,
7/12/2019,7,13,16,
7/12/2019,6,13,19,
7/12/2019,5,13,19.5,
7/12/2019,4,13,21.5,
7/12/2019,3,13,21,
7/12/2019,2,13,14.5,
7/12/2019,2,17,17.5,
7/12/2019,3,17,15.5,
7/12/2019,4,17,7,
7/12/2019,5,17,16.5,
7/12/2019,6,17,11,
7/12/2019,7,17,19.5,
7/12/2019,8,17,16.5,
7/12/2019,9,17,13.5,
7/12/2019,10,17,17.5,
7/12/2019,11,17,16.5,
7/12/2019,12,17,16,
7/12/2019,13,17,13.5,
7/12/2019,14,17,15,
7/12/2019,15,17,17,
7/12/2019,16,17,17,
7/12/2019,17,17,21.5,
7/12/2019,18,17,12.5,
7/12/2019,19,17,9.5,
7/12/2019,20,17,9,
7/12/2019,21,17,12.5,
7/12/2019,22,17,17,
7/12/2019,23,17,16,
7/12/2019,24,17,16,
7/12/2019,25,17,19.5,
7/12/2019,25,21,9.5,
7/12/2019,24,21,17.5,
7/12/2019,23,21,12.5,
7/12/2019,22,21,11,
7/12/2019,21,21,12,
7/12/2019,20,21,11,
7/12/2019,19,21,6.5,
7/12/2019,18,21,9.5,
7/12/2019,17,21,12.5,
7/12/2019,16,21,15.5,
7/12/2019,15,21,15.5,
7/12/2019,14,21,16,
7/12/2019,13,21,10.5,
7/12/2019,12,21,14,
7/12/2019,11,21,16,
7/12/2019,10,21,14,
7/12/2019,9,21,15.5,
7/12/2019,8,21,9.5,
7/12/2019,7,21,24,
7/12/2019,6,21,17,
7/12/2019,5,21,10,
7/12/2019,4,21,18.5,
7/12/2019,3,21,11.5,
7/12/2019,2,21,24,
7/12/2019,2,25,16.5,
7/12/2019,3,25,14.5,
7/12/2019,4,25,11,
7/12/2019,5,25,8,
7/12/2019,6,25,14,
7/12/2019,7,25,13.5,
7/12/2019,8,25,9.5,
7/12/2019,9,25,16,
7/12/2019,10,25,15.5,
7/12/2019,11,25,12.5,
7/12/2019,12,25,19,
7/12/2019,13,25,14,
7/12/2019,14,25,16.5,
7/12/2019,15,25,14,
7/12/2019,16,25,18,
7/12/2019,17,25,12.5,
7/12/2019,18,25,11,
7/12/2019,19,25,7,
7/12/2019,20,25,14,
7/12/2019,21,25,16,
7/12/2019,22,25,11.5,
7/12/2019,23,25,11,
7/12/2019,24,25,7.5,
7/12/2019,25,25,8.5,
7/12/2019,25,29,9,
7/12/2019,24,29,11.5,
7/12/2019,23,29,12.5,
7/12/2019,22,29,17,
7/12/2019,21,29,11.5,
7/12/2019,20,29,18,
7/12/2019,19,29,9.5,
7/12/2019,18,29,9.5,
7/12/2019,17,29,9.5,
7/12/2019,16,29,12.5,
7/12/2019,15,29,13.5,
7/12/2019,14,29,11.5,
7/12/2019,13,29,10,
7/12/2019,12,29,11.5,
7/12/2019,11,29,10.5,
7/12/2019,10,29,12,
7/12/2019,9,29,11,
7/12/2019,8,29,17.5,
7/12/2019,7,29,4.5,
7/12/2019,6,29,12,
7/12/2019,5,29,13.5,
7/12/2019,4,29,13.5,
7/12/2019,3,29,15,
7/12/2019,2,29,10.5,
7/12/2019,2,33,12.5,
7/12/2019,3,33,9.5,
7/12/2019,4,33,8.5,
7/12/2019,5,33,14.5,
7/12/2019,6,33,12,
7/12/2019,7,33,16.5,
7/12/2019,8,33,14,
7/12/2019,9,33,10.5,
7/12/2019,10,33,13.5,
7/12/2019,11,33,17,
7/12/2019,12,33,23.5,
7/12/2019,13,33,11.5,
7/12/2019,14,33,16.5,
7/12/2019,15,33,12.5,
7/12/2019,16,33,7,
7/12/2019,17,33,12.5,
7/12/2019,18,33,11.5,
7/12/2019,19,33,10,
7/12/2019,20,33,16.5,
7/12/2019,21,33,11.5,
7/12/2019,22,33,20,
7/12/2019,23,33,16,
7/12/2019,24,33,12.5,
7/12/2019,25,33,11,
7/12/2019,25,37,9.5,
7/12/2019,24,37,7.5,
7/12/2019,23,37,9,
7/12/2019,22,37,9,
7/12/2019,21,37,8,
7/12/2019,20,37,1,
7/12/2019,19,37,6,
7/12/2019,18,37,13,
7/12/2019,17,37,14,
7/12/2019,16,37,11.5,
7/12/2019,15,37,5.5,
7/12/2019,14,37,8,
7/12/2019,13,37,19,
7/12/2019,12,37,14,
7/12/2019,11,37,11.5,
7/12/2019,10,37,12,
7/12/2019,9,37,13,
7/12/2019,8,37,12.5,
7/12/2019,7,37,14,
7/12/2019,6,37,8,
7/12/2019,5,37,11.5,
7/12/2019,4,37,8,
7/12/2019,3,37,16.5,
7/12/2019,2,37,11,
7/12/2019,2,41,10,
7/12/2019,3,41,13.5,
7/12/2019,4,41,12.5,
7/12/2019,5,41,13.5,
7/12/2019,6,41,10.5,
7/12/2019,7,41,9.5,
7/12/2019,8,41,24,
7/12/2019,9,41,6.5,
7/12/2019,10,41,7,
7/12/2019,11,41,10.5,
7/12/2019,12,41,11,
7/12/2019,13,41,14.5,
7/12/2019,14,41,4.5,
7/12/2019,15,41,17,
7/12/2019,16,41,9.5,
7/12/2019,17,41,12,
7/12/2019,18,41,6.5,
7/12/2019,19,41,11.5,
7/12/2019,20,41,10.5,
7/12/2019,21,41,6.5,
7/12/2019,22,41,6.5,
7/12/2019,23,41,11.5,
7/12/2019,24,41,14,
7/12/2019,25,41,12.5,
7/12/2019,25,45,10.5,
7/12/2019,24,45,11.5,
7/12/2019,23,45,17,
7/12/2019,22,45,7.5,
7/12/2019,21,45,10,
7/12/2019,20,45,11,
7/12/2019,19,45,8.5,
7/12/2019,18,45,7.5,
7/12/2019,17,45,15.5,
7/12/2019,16,45,6.5,
7/12/2019,15,45,8.5,
7/12/2019,14,45,5.5,
7/12/2019,13,45,10,
7/12/2019,12,45,7,
7/12/2019,11,45,10,
7/12/2019,10,45,17,
7/12/2019,9,45,13,
7/12/2019,8,45,7.5,
7/12/2019,7,45,15,
7/12/2019,6,45,15.5,
7/12/2019,5,45,10,
7/12/2019,4,45,9.5,
7/12/2019,3,45,12,
7/12/2019,2,45,13,
7/12/2019,2,49,16,
7/12/2019,3,49,20.5,
7/12/2019,4,49,16.5,
7/12/2019,5,49,15.5,
7/12/2019,6,49,15,
7/12/2019,7,49,16.5,
7/12/2019,8,49,19,
7/12/2019,9,49,18.5,
7/12/2019,10,49,22,
7/12/2019,11,49,28.5,
7/12/2019,12,49,19,
7/12/2019,13,49,32,
7/12/2019,14,49,19,
7/12/2019,15,49,14,
7/12/2019,16,49,12,
7/12/2019,17,49,20.5,
7/12/2019,18,49,16.5,
7/12/2019,19,49,10.5,
7/12/2019,20,49,10,
7/12/2019,21,49,17.5,
7/12/2019,22,49,22,
7/12/2019,23,49,22,
7/12/2019,24,49,23.5,
7/12/2019,25,49,14.5,
7/12/2019,25,53,8,
7/12/2019,24,53,6,
7/12/2019,23,53,11,
7/12/2019,22,53,8.5,
7/12/2019,21,53,10,
7/12/2019,20,53,9.5,
7/12/2019,19,53,11.5,
7/12/2019,18,53,8.5,
7/12/2019,17,53,6.5,
7/12/2019,16,53,12,
7/12/2019,15,53,13,
7/12/2019,14,53,8.5,
7/12/2019,13,53,12.5,
7/12/2019,12,53,8,
7/12/2019,11,53,9.5,
7/12/2019,10,53,7.5,
7/12/2019,9,53,12.5,
7/12/2019,8,53,16.5,
7/12/2019,7,53,16,
7/12/2019,6,53,11,
7/12/2019,5,53,15,
7/12/2019,4,53,8,
7/12/2019,3,53,11.5,
7/12/2019,2,53,13,
7/12/2019,2,57,13.5,
7/12/2019,3,57,8,
7/12/2019,4,57,11,
7/12/2019,5,57,10.5,
7/12/2019,6,57,11,
7/12/2019,7,57,14,
7/12/2019,8,57,14.5,
7/12/2019,9,57,13,
7/12/2019,10,57,10.5,
7/12/2019,11,57,14.5,
7/12/2019,12,57,15,
7/12/2019,13,57,12.5,
7/12/2019,14,57,14,
7/12/2019,15,57,12.5,
7/12/2019,16,57,13,
7/12/2019,17,57,10.5,
7/12/2019,18,57,10.5,
7/12/2019,19,57,13.5,
7/12/2019,20,57,17,
7/12/2019,21,57,18.5,
7/12/2019,22,57,13,
7/12/2019,23,57,12,
7/12/2019,24,57,15.5,
7/12/2019,25,57,17,
7/12/2019,25,61,13.5,
7/12/2019,24,61,8,
7/12/2019,23,61,8.5,
7/12/2019,22,61,12,
7/12/2019,21,61,9,
7/12/2019,20,61,11,
7/12/2019,19,61,13,
7/12/2019,18,61,15.5,
7/12/2019,17,61,18,
7/12/2019,16,61,20,
7/12/2019,15,61,13.5,
7/12/2019,14,61,12,
7/12/2019,13,61,14,
7/12/2019,12,61,16,
7/12/2019,11,61,13.5,
7/12/2019,10,61,9.5,
7/12/2019,9,61,10,
7/12/2019,8,61,11.5,
7/12/2019,7,61,13.5,
7/12/2019,6,61,24,
7/12/2019,5,61,9,
7/12/2019,4,61,11,
7/12/2019,3,61,16,
7/12/2019,2,61,16,
7/12/2019,2,65,10.5,
7/12/2019,3,65,15,
7/12/2019,4,65,8.5,
7/12/2019,5,65,6.5,
7/12/2019,6,65,8.5,
7/12/2019,7,65,13.5,
7/12/2019,8,65,15.5,
7/12/2019,9,65,12,
7/12/2019,10,65,12,
7/12/2019,11,65,10,
7/12/2019,12,65,9.5,
7/12/2019,13,65,9.5,
7/12/2019,14,65,17.5,
7/12/2019,15,65,8,
7/12/2019,16,65,11,
7/12/2019,17,65,10.5,
7/12/2019,18,65,12,
7/12/2019,19,65,14.5,
7/12/2019,20,65,9.5,
7/12/2019,21,65,10.5,
7/12/2019,22,65,8,
7/12/2019,23,65,10,
7/12/2019,24,65,9,
7/12/2019,25,65,12,
7/12/2019,25,69,9,
7/12/2019,24,69,14.5,
7/12/2019,23,69,9,
7/12/2019,22,69,9,
7/12/2019,21,69,9.5,
7/12/2019,20,69,11,
7/12/2019,19,69,9,
7/12/2019,18,69,14,
7/12/2019,17,69,13.5,
7/12/2019,16,69,11,
7/12/2019,15,69,11,
7/12/2019,14,69,10,
7/12/2019,13,69,12.5,
7/12/2019,12,69,10.5,
7/12/2019,11,69,11,
7/12/2019,10,69,9,
7/12/2019,9,69,9.5,
7/12/2019,8,69,11,
7/12/2019,7,69,11.5,
7/12/2019,6,69,9,
7/12/2019,5,69,13.5,
7/12/2019,4,69,11,
7/12/2019,3,69,10,
7/12/2019,2,69,10,
7/12/2019,2,73,7,
7/12/2019,3,73,9.5,
7/12/2019,4,73,10.5,
7/12/2019,5,73,7.5,
7/12/2019,6,73,7,
7/12/2019,7,73,14,
7/12/2019,8,73,8,
7/12/2019,9,73,9,
7/12/2019,10,73,8.5,
7/12/2019,11,73,13,
7/12/2019,12,73,9.5,
7/12/2019,13,73,10,
7/12/2019,14,73,10.5,
7/12/2019,15,73,11,
7/12/2019,16,73,11,
7/12/2019,17,73,12.5,
7/12/2019,18,73,11.5,
7/12/2019,19,73,13,
7/12/2019,20,73,10.5,
7/12/2019,21,73,10,
7/12/2019,22,73,11.5,
7/12/2019,23,73,8.5,
7/12/2019,24,73,13.5,
7/12/2019,25,73,10,
7/12/2019,25,77,7.5,
7/12/2019,24,77,13,
7/12/2019,23,77,12,
7/12/2019,22,77,9.5,
7/12/2019,21,77,7,
7/12/2019,20,77,13.5,
7/12/2019,19,77,11,
7/12/2019,18,77,9.5,
7/12/2019,17,77,9,
7/12/2019,16,77,15.5,
7/12/2019,15,77,10,
7/12/2019,14,77,10.5,
7/12/2019,13,77,6.5,
7/12/2019,12,77,11.5,
7/12/2019,11,77,14,
7/12/2019,10,77,12.5,
7/12/2019,9,77,12,
7/12/2019,8,77,9.5,
7/12/2019,7,77,16.5,
7/12/2019,6,77,13.5,
7/12/2019,5,77,10,
7/12/2019,4,77,8.5,
7/12/2019,3,77,10.5,
7/12/2019,2,77,8.5,
7/12/2019,2,81,9,
7/12/2019,3,81,9.5,
7/12/2019,4,81,12.5,
7/12/2019,5,81,7,
7/12/2019,6,81,9,
7/12/2019,7,81,8,
7/12/2019,8,81,12.5,
7/12/2019,9,81,8,
7/12/2019,10,81,10,
7/12/2019,11,81,11,
